CellLine,Age,DNAmAge,CellLine.1,Tissue,ShortCellLine,CCLEname,Cell.line.primary.name,Cell.line.aliases,Site.Primary,Histology,AgeAcceleration
bladder T24,81,131.2026718,bladder T24,Bladder,bladderT24,T24_URINARY_TRACT,T24,,urinary_tract,carcinoma,50.2026718
BreastCancer BT-20,74,60.27027394,BreastCancer BT-20,Breast,BreastBT-20,BT20_BREAST,BT-20,,breast,carcinoma,-13.72972606
BreastCancer BT-474,60,51.27116063,BreastCancer BT-474,Breast,BreastBT-474,BT474_BREAST,BT-474,,breast,carcinoma,-8.72883937
BreastCancer CAMA1,51,56.68046374,BreastCancer CAMA1,Breast,BreastCAMA1,CAMA1_BREAST,CAMA-1,,breast,carcinoma,5.68046374
BreastCancer EFM19,50,90.75022663,BreastCancer EFM19,Breast,BreastEFM19,EFM19,CAL-85-1,,breast,carcinoma,40.75022663
BreastCancer EFM192A,46,36.41702148,BreastCancer EFM192A,Breast,BreastEFM192A,EFM192A_BREAST,EFM-192A,,breast,carcinoma,-9.58297852
BreastCancer HCC1187,41,41.07020837,BreastCancer HCC1187,Breast,BreastHCC1187,HCC1187_BREAST,HCC1187,,breast,carcinoma,0.07020837
BreastCancer HCC1419,42,15.81783472,BreastCancer HCC1419,Breast,BreastHCC1419,HCC1419_BREAST,HCC1419,,breast,carcinoma,-26.18216528
BreastCancer HCC1500,32,78.16936809,BreastCancer HCC1500,Breast,BreastHCC1500,HCC1500_BREAST,HCC1500,,breast,carcinoma,46.16936809
BreastCancer HCC1569,70,56.40490668,BreastCancer HCC1569,Breast,BreastHCC1569,HCC1569_BREAST,HCC1569,,breast,carcinoma,-13.59509332
BreastCancer HCC1937,23,41.85577231,BreastCancer HCC1937,Breast,BreastHCC1937,HCC1937_BREAST,HCC1937,,breast,carcinoma,18.85577231
BreastCancer HCC1954,61,19.75583823,BreastCancer HCC1954,Breast,BreastHCC1954,HCC1954_BREAST,HCC1954,,breast,carcinoma,-41.24416177
BreastCancer HCC38,50,52.19945238,BreastCancer HCC38,Breast,BreastHCC38,HCC38_BREAST,HCC38,,breast,carcinoma,2.19945238
BreastCancer MCF7,69,47.54855178,BreastCancer MCF7,Breast,BreastMCF7,MCF7_BREAST,MCF7,,breast,carcinoma,-21.45144822
BreastCancer MDA-MB-175-VII,56,109.6885155,BreastCancer MDA-MB-175-VII,Breast,BreastMDA-MB-175-VII,MDAMB175VII_BREAST,MDA-MB-175-VII,,breast,carcinoma,53.6885155
BreastCancer MDA-MB-231,51,138.1819913,BreastCancer MDA-MB-231,Breast,BreastMDA-MB-231,MDAMB231_BREAST,MDA-MB-231,,breast,carcinoma,87.1819913
BreastCancer MDA-MB-361,40,41.77241977,BreastCancer MDA-MB-361,Breast,BreastMDA-MB-361,MDAMB361_BREAST,MDA-MB-361,,breast,carcinoma,1.77241977
BreastCancer MDA-MB-415,38,28.04835882,BreastCancer MDA-MB-415,Breast,BreastMDA-MB-415,MDAMB415_BREAST,MDA-MB-415,,breast,carcinoma,-9.95164118
BreastCancer MDA-MB-436,43,17.52018284,BreastCancer MDA-MB-436,Breast,BreastMDA-MB-436,MDAMB436_BREAST,MDA-MB-436,,breast,carcinoma,-25.47981716
BreastCancer MDA-MB-453,48,84.63048903,BreastCancer MDA-MB-453,Breast,BreastMDA-MB-453,MDAMB453_BREAST,MDA-MB-453,,breast,carcinoma,36.63048903
BreastCancer MDA-MB-468,51,11.14057884,BreastCancer MDA-MB-468,Breast,BreastMDA-MB-468,MDAMB468_BREAST,MDA-MB-468,,breast,carcinoma,-39.85942116
BreastCancer SK-BR-3,43,8.101996274,BreastCancer SK-BR-3,Breast,BreastSK-BR-3,SKBR3_BREAST,SK-BR-3,,breast,carcinoma,-34.89800373
BreastCancer SUM149PT,35,77.44852211,BreastCancer SUM149PT,Breast,BreastSUM149PT,NA,NA,NA,NA,NA,42.44852211
BreastCancer SUM159PT,NA,109.9212263,BreastCancer SUM159PT,Breast,BreastSUM159PT,NA,NA,NA,NA,NA,NA
BreastCancer T47D,54,59.02037931,BreastCancer T47D,Breast,BreastT47D,T47D_BREAST,T-47D,,breast,carcinoma,5.02037931
BreastCancer ZR-75-1,63,75.74999102,BreastCancer ZR-75-1,Breast,BreastZR-75-1,ZR751_BREAST,ZR-75-1,,breast,carcinoma,12.74999102
BreastCancer ZR-75-30,47,35.72554529,BreastCancer ZR-75-30,Breast,BreastZR-75-30,ZR7530_BREAST,ZR-75-30,,breast,carcinoma,-11.27445471
Colon HCT116,NA,63.88396794,Colon HCT116,Colon,ColonHCT116,HCT116_LARGE_INTESTINE,HCT 116,,large_intestine,carcinoma,NA
GBMStemCell MGG4,NA,111.6681499,GBMStemCell MGG4,Brain,GliomaMGG4,NA,NA,NA,NA,NA,NA
GBMStemCell MGG6,NA,126.9802706,GBMStemCell MGG6,Brain,GliomaMGG6,NA,NA,NA,NA,NA,NA
GBMStemCell MGG8,NA,148.285915,GBMStemCell MGG8,Brain,GliomaMGG8,NA,NA,NA,NA,NA,NA
GliomaStemCell TS603,NA,130.5627079,GliomaStemCell TS603,Brain,GliomaTS603,NA,NA,NA,NA,NA,NA
